Valid,Name,Feedback
N,Blue Ginger, first thai restaurants in the city
N,Olive Beach,sophisticated Italian restaurant ? popular for its a la carte buffet menus
N,Ruh,"bright colors yet a dimly lit, cozy setting"
Y,Gufha,dimly lit romantic restaurant
Y,Gufha1,not so dimly lit romantic restaurant
N,Spice Terrace,poolside candle light dinner
N,Rim Naam,floating restaurant that opens to a faux stone tunnel
Y,Rim Naam, first thai restaurants in the city
Y,Lantern,"outdoor terrace & a sleek, wood-lined interior"
Y,Toggle,"We are very happy with your service."
Y,Inmobi,Really impressed with the professionalism of the company. All the services were industry standards and par with the quality promised. Glad to have subscribed to the services looking forward to future endeavors highly recommend the services.
Y,Explara,Great services keep it up bro. Big fan highly recommend . Had few bugs but surely you can fix them. 
Y,Olives,Being in this field for quite some time now I have been looking for an agency to trust on for a long time now  and was really relieved when I contacted this company. Trust us their main fundamental and I appreciate it.  Looks like we are partners forever now and I suggest you do the same.
N,Times,"We are disappointed."
Y,Era,"Very happy with your service"
Y,Target,"good experience"
Y,AWS,"Very good experience."
Y,Sudash,"happy with their service."
Y,Shmira,"Very happy with your service."
Y,Inmobi,Really impressed with the professionalism of the company. All the services were industry standards and par with the quality promised. Glad to have subscribed to the services looking forward to future endeavors highly recommend the services.
Y,Explara,Great services keep it up bro. Big fan highly recommend . Had few bugs but surely you can fix them. 
Y,Olives,Being in this field for quite some time now I have been looking for an agency to trust on for a long time now  and was really relieved when I contacted this company. Trust us their main fundamental and I appreciate it.  Looks like we are partners forever now and I suggest you do the same.
Y,Rasharshan,"Overall good."
Y,Pixels,"Execution is very good."
Y,Inmobi,Really impressed with the professionalism of the company. All the services were industry standards and par with the quality promised. Glad to have subscribed to the services looking forward to future endeavors highly recommend the services.
Y,Explara,Great services keep it up bro. Big fan highly recommend . Had few bugs but surely you can fix them. 
Y,Olives,Being in this field for quite some time now I have been looking for an agency to trust on for a long time now  and was really relieved when I contacted this company. Trust us their main fundamental and I appreciate it.  Looks like we are partners forever now and I suggest you do the same.
Y,"Fruit Ninja","We are happy with the service."
N,gfhj,bad
N,gfhjk,"very bad"
